round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.602932595520596,0.37427047823618553,0.7286882224664046,0.5094071901221093,0.5996291014528703,0.0,0.0,0.0,0.0
2,2357,1648,1188,2259,564,860,1188,0,0.7851852272374507,0.5470712722729161,0.8494803025609445,0.6995505417862876,0.7672596166330173,0.0,0.0,0.0,0.0
3,2854,497,691,916,401,449,691,0,0.8448166572493552,0.6033594203534935,0.9079721415845635,0.7437051767910122,0.8176701036768894,0.0,0.0,0.0,0.0
4,3019,165,526,416,247,341,526,0,0.855128570219136,0.5989239115703361,0.9111009335516893,0.7580988897148464,0.8275876818534803,0.0,0.0,0.0,0.0
5,3097,78,448,267,187,308,448,0,0.8271472443432595,0.5657568501056092,0.8471993768640965,0.7318276750715798,0.785298705975304,0.0,0.0,0.0,0.0
