epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9899,1.31369,1.34144,2.11647,0.40911,0.18976,0.20228,0.1258,2.30347,3.12125,2.83627,0.000329317,0.000329317,0.0673976
2,29.45,1.32613,1.33632,2.13336,0.38743,0.19229,0.22059,0.13871,2.29071,2.79201,2.7558,0.000603012,0.000603012,0.034338
3,41.5794,1.29995,1.31822,2.0734,0.41569,0.22662,0.23764,0.14541,2.19537,2.58374,2.7023,0.000816707,0.000816707,0.00121831
4,53.2945,1.27078,1.27628,2.05637,0.32984,0.23722,0.22188,0.12608,2.40119,2.6664,2.87577,0.00073,0.00073,0.00073
5,64.4333,1.25632,1.26432,2.02074,0.42355,0.23704,0.25262,0.15754,2.16436,2.49213,2.67365,0.00064,0.00064,0.00064
6,75.6314,1.21474,1.24989,1.99124,0.36016,0.25378,0.2532,0.15543,2.121,2.56399,2.6282,0.00055,0.00055,0.00055
7,86.5673,1.15882,1.17137,1.91364,0.44947,0.24442,0.26673,0.16422,2.13471,2.49253,2.62734,0.00046,0.00046,0.00046
8,97.5667,1.14634,1.15053,1.91415,0.55871,0.21295,0.26654,0.1685,2.14186,2.50185,2.63435,0.00037,0.00037,0.00037
9,108.585,1.1454,1.17059,1.90086,0.40451,0.25445,0.27726,0.17283,2.11631,2.34336,2.60905,0.00028,0.00028,0.00028
10,119.777,1.08528,1.10313,1.84006,0.40191,0.26601,0.28536,0.17872,2.09938,2.30971,2.58398,0.00019,0.00019,0.00019
