round,training_set_size,verified_samples_added,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,1417,0,0,0.8304076679343122,0.5652631730081754,0.8630570519797023,0.729532884889652,0.7906975755388829,0.0,0.0,0.0,0.0
2,2871,2871,0,0.9009957021051327,0.6433429038855749,0.9201382952378712,0.8079943003569742,0.8604276083762796,0.0,0.0,0.0,0.0
3,214,214,0,0.8474790462902392,0.5434595756491556,0.8574178671520152,0.7743446699825245,0.8137666360974989,0.0,0.0,0.0,0.0
4,55,55,0,0.8491186541577461,0.5418703386815208,0.8563498462713846,0.7773699829293392,0.814950829975803,0.0,0.0,0.0,0.0
5,1,1,0,0.8459646758618147,0.5429985803857276,0.8485916770586397,0.7776750907380025,0.8115871547325533,0.0,0.0,0.0,0.0
