round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.8278903793861074,0.5546206552170736,0.8925330917710381,0.7295669287003101,0.8028637177842759,0.0,0.0,0.0,0.0
2,2995,2286,550,3063,658,302,550,0,0.8713622732294777,0.6095467813266648,0.8838003789457929,0.7808695053891664,0.8291527002014207,0.0,0.0,0.0,0.0
3,3182,187,363,363,162,256,363,0,0.9067850421434099,0.6638465614425156,0.9295828552205734,0.8198270710820411,0.8712619930472894,0.0,0.0,0.0,0.0
4,3296,114,249,262,145,137,249,0,0.8957902389692266,0.6490563139031432,0.9226665010962075,0.8040309079974561,0.8592731775101405,0.0,0.0,0.0,0.0
5,3331,35,214,124,89,139,214,0,0.9187754410602118,0.675689151062812,0.938088914057537,0.8391149309708463,0.8858459501603596,0.0,0.0,0.0,0.0
