round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.6110768897136597,0.35706875768153334,0.7406202841790245,0.5141571382456515,0.6069525941968842,0.0,0.0,0.0,0.0
2,2350,1641,1195,2390,687,750,1195,0,0.7806917325318452,0.5267391306873132,0.9031133093236463,0.6662378408571582,0.7667987641692922,0.0,0.0,0.0,0.0
3,2830,480,715,1002,485,412,715,0,0.7807169668124961,0.5290217799121674,0.8318147541945056,0.6941920020514539,0.7567976317100279,0.0,0.0,0.0,0.0
4,2943,113,602,434,319,354,602,0,0.8224438949066188,0.558344836517038,0.8995159077716639,0.7295267819035425,0.805652239351126,0.0,0.0,0.0,0.0
5,3041,98,504,338,237,327,504,0,0.8557082406703669,0.6001901253201888,0.8997044794956961,0.7702031316688007,0.8299323903324287,0.0,0.0,0.0,0.0
