epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6933,2.38508,2.7363,3.12352,0.02708,0.17673,0.02197,0.00796,2.75612,3.59806,3.27622,0.000327273,0.000327273,0.0676
2,24.0591,2.20898,2.51314,2.97015,0.43786,0.13349,0.13212,0.06249,2.66925,3.10228,3.1912,0.000601152,0.000601152,0.0345405
3,32.0938,2.1124,2.4259,2.91447,0.4401,0.11898,0.134,0.07002,2.57667,3.12586,3.12283,0.00081503,0.00081503,0.00142109
4,40.4088,2.08466,2.3798,2.86258,0.56385,0.13978,0.14403,0.05152,2.71518,3.05051,3.18077,0.00073,0.00073,0.00073
5,48.838,2.03881,2.32119,2.8056,0.69344,0.15199,0.12994,0.04844,2.62157,2.98132,3.13079,0.00064,0.00064,0.00064
6,57.3026,1.96026,2.21522,2.74443,0.33394,0.16725,0.16344,0.09294,2.47674,2.9742,3.02592,0.00055,0.00055,0.00055
7,65.4447,1.89567,2.2227,2.67016,0.41525,0.16867,0.15946,0.08743,2.45262,2.96528,2.97992,0.00046,0.00046,0.00046
8,73.7727,1.85835,2.13919,2.64729,0.42517,0.14294,0.15342,0.07539,2.49012,3.06026,3.00233,0.00037,0.00037,0.00037
9,82.0559,1.82485,2.05604,2.57103,0.37161,0.0838,0.11551,0.04855,2.47261,3.12148,2.98209,0.00028,0.00028,0.00028
10,90.907,1.78384,2.02483,2.54896,0.3864,0.18445,0.1926,0.1063,2.43817,2.80403,2.94378,0.00019,0.00019,0.00019
