round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.8402807298666157,0.5728461686104127,0.8929329038675802,0.732954945502452,0.805073471882078,0.0,0.0,0.0,0.0
2,2924,2215,621,2753,415,404,621,0,0.9025144135343707,0.6787288667384159,0.9142819596084019,0.842132275372929,0.8767252412818525,0.0,0.0,0.0,0.0
3,3195,271,350,418,139,253,350,0,0.9001029742177238,0.6470916943507464,0.9125883011146778,0.8265132634646317,0.8674206846986469,0.0,0.0,0.0,0.0
4,3271,76,274,191,111,194,274,0,0.903819533101652,0.6588756094750339,0.9175243142177432,0.8416059805804523,0.8779269534008174,0.0,0.0,0.0,0.0
5,3331,60,214,186,123,130,214,0,0.9133675030254154,0.667218947053582,0.9433629077243146,0.8304890898420828,0.883334803243551,0.0,0.0,0.0,0.0
