round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.19666446213348146,0.11455739716540045,0.758106872109874,0.1591240875912409,0.2630374891847136,0.0,0.0,0.0,0.0
2,1194,485,2351,642,157,2195,2351,0,0.2979654799741897,0.17956074715881948,0.477628762034651,0.27575175510482824,0.34964262128699947,0.0,0.0,0.0,0.0
3,1573,379,1972,858,464,1538,1972,0,0.39198292220029896,0.23541292621835766,0.5382374688010645,0.3575116208553396,0.4296429705554166,0.0,0.0,0.0,0.0
4,1741,168,1804,437,263,1549,1804,0,0.47848216110132546,0.29447368617330405,0.6462439381474057,0.4209516134147948,0.5098173957424444,0.0,0.0,0.0,0.0
5,2017,276,1528,587,304,1285,1528,0,0.533963794732761,0.3423699254469479,0.7067932786086268,0.46316615365257047,0.5596138041264367,0.0,0.0,0.0,0.0
