round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.8180232943622812,0.5411445017202908,0.8478306286994793,0.7239342651911553,0.7809993028598843,0.0,0.0,0.0,0.0
2,2882,2173,663,2832,554,396,663,0,0.8993946016886887,0.6620588275452037,0.919839700632021,0.8213161545027743,0.8677904432898541,0.0,0.0,0.0,0.0
3,3210,328,335,552,204,199,335,0,0.898041232597309,0.6573264766922133,0.8956321685750335,0.8355206999573197,0.8645327977609725,0.0,0.0,0.0,0.0
4,3288,78,257,207,127,162,257,0,0.8942943945597659,0.6488369765881743,0.9084710382384,0.8253803357894114,0.8649347248885223,0.0,0.0,0.0,0.0
5,3323,35,222,147,112,131,222,0,0.9088631043565085,0.6668890441301228,0.9317526017730035,0.8336957178220297,0.8800010122594508,0.0,0.0,0.0,0.0
