round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.7023997999381828,0.44279381500823617,0.7044629556087068,0.6517018779342723,0.6770560919293627,0.0,0.0,0.0,0.0
2,2593,1884,952,2516,547,691,952,0,0.8566952209692036,0.5960733534867071,0.8690287493269027,0.7484328318395219,0.8042350500092275,0.0,0.0,0.0,0.0
3,3109,516,436,884,346,226,436,0,0.8853930963914663,0.6301272452422877,0.8804894513335626,0.8085020539906103,0.8429616462560222,0.0,0.0,0.0,0.0
4,3249,140,296,366,225,143,296,0,0.8950824734909686,0.6433587359003623,0.9104568414985094,0.8181684805804523,0.8618491018597801,0.0,0.0,0.0,0.0
5,3323,74,222,285,208,92,222,0,0.905847462240799,0.6527675134983657,0.9258260083653866,0.8042648356775625,0.8607748027195693,0.0,0.0,0.0,0.0
