round,image_id,method,hfs_score,processing_time_seconds,output_path,model_name
4,DSC_00251_JPG_jpg.rf.fbd6bc12d1b1cdda5c959c0a6cd92b02,shap,0.434541255235672,1.2144019603729248,explanations\yolov8n\incremental_round_4\shap\DSC_00251_JPG_jpg.rf.fbd6bc12d1b1cdda5c959c0a6cd92b02_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00261_JPG_jpg.rf.f12aefc15742ba5a0f47ba06cde9c12f,gradcam,0.7914551496505737,0.6097395420074463,explanations\yolov8n\incremental_round_4\gradcam\DSC_00261_JPG_jpg.rf.f12aefc15742ba5a0f47ba06cde9c12f_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00261_JPG_jpg.rf.f12aefc15742ba5a0f47ba06cde9c12f,lrp,0.6411958932876587,0.7410240173339844,explanations\yolov8n\incremental_round_4\lrp\DSC_00261_JPG_jpg.rf.f12aefc15742ba5a0f47ba06cde9c12f_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00261_JPG_jpg.rf.f12aefc15742ba5a0f47ba06cde9c12f,shap,0.2751588821411133,1.2296583652496338,explanations\yolov8n\incremental_round_4\shap\DSC_00261_JPG_jpg.rf.f12aefc15742ba5a0f47ba06cde9c12f_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0027_JPG_jpg.rf.b1d7a0133909f996118b9bb6eece2f77,lrp,0.5241206884384155,0.742426872253418,explanations\yolov8n\incremental_round_4\lrp\DSC_0027_JPG_jpg.rf.b1d7a0133909f996118b9bb6eece2f77_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0027_JPG_jpg.rf.b1d7a0133909f996118b9bb6eece2f77,shap,0.11107479780912399,1.229388952255249,explanations\yolov8n\incremental_round_4\shap\DSC_0027_JPG_jpg.rf.b1d7a0133909f996118b9bb6eece2f77_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00281_JPG_jpg.rf.246b3c51a00ca6c0b86fd961ec0710e3,gradcam,0.8933649659156799,0.6293470859527588,explanations\yolov8n\incremental_round_4\gradcam\DSC_00281_JPG_jpg.rf.246b3c51a00ca6c0b86fd961ec0710e3_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00281_JPG_jpg.rf.246b3c51a00ca6c0b86fd961ec0710e3,lrp,0.4931643009185791,0.8588440418243408,explanations\yolov8n\incremental_round_4\lrp\DSC_00281_JPG_jpg.rf.246b3c51a00ca6c0b86fd961ec0710e3_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00281_JPG_jpg.rf.246b3c51a00ca6c0b86fd961ec0710e3,shap,0.2985154688358307,1.1745095252990723,explanations\yolov8n\incremental_round_4\shap\DSC_00281_JPG_jpg.rf.246b3c51a00ca6c0b86fd961ec0710e3_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00311_JPG_jpg.rf.b35acaa1b87bd5b94aba296cefac7b08,gradcam,0.9236764907836914,0.6054661273956299,explanations\yolov8n\incremental_round_4\gradcam\DSC_00311_JPG_jpg.rf.b35acaa1b87bd5b94aba296cefac7b08_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00311_JPG_jpg.rf.b35acaa1b87bd5b94aba296cefac7b08,lrp,0.8685106039047241,0.7345447540283203,explanations\yolov8n\incremental_round_4\lrp\DSC_00311_JPG_jpg.rf.b35acaa1b87bd5b94aba296cefac7b08_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00311_JPG_jpg.rf.b35acaa1b87bd5b94aba296cefac7b08,shap,0.35060667991638184,1.1964843273162842,explanations\yolov8n\incremental_round_4\shap\DSC_00311_JPG_jpg.rf.b35acaa1b87bd5b94aba296cefac7b08_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0031_JPG_jpg.rf.eb6335e13d1cc9a420e4853be10e0ae4,gradcam,0.17902517318725586,0.5537383556365967,explanations\yolov8n\incremental_round_4\gradcam\DSC_0031_JPG_jpg.rf.eb6335e13d1cc9a420e4853be10e0ae4_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0031_JPG_jpg.rf.eb6335e13d1cc9a420e4853be10e0ae4,lrp,0.4541727304458618,0.7128639221191406,explanations\yolov8n\incremental_round_4\lrp\DSC_0031_JPG_jpg.rf.eb6335e13d1cc9a420e4853be10e0ae4_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0031_JPG_jpg.rf.eb6335e13d1cc9a420e4853be10e0ae4,shap,0.12911579012870789,1.1804099082946777,explanations\yolov8n\incremental_round_4\shap\DSC_0031_JPG_jpg.rf.eb6335e13d1cc9a420e4853be10e0ae4_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00321_JPG_jpg.rf.3f9657657233933a999ab1f633a39591,gradcam,0.2895868122577667,0.7491178512573242,explanations\yolov8n\incremental_round_4\gradcam\DSC_00321_JPG_jpg.rf.3f9657657233933a999ab1f633a39591_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00321_JPG_jpg.rf.3f9657657233933a999ab1f633a39591,lrp,0.4799123704433441,0.7374956607818604,explanations\yolov8n\incremental_round_4\lrp\DSC_00321_JPG_jpg.rf.3f9657657233933a999ab1f633a39591_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00321_JPG_jpg.rf.3f9657657233933a999ab1f633a39591,shap,0.20945024490356445,1.2151358127593994,explanations\yolov8n\incremental_round_4\shap\DSC_00321_JPG_jpg.rf.3f9657657233933a999ab1f633a39591_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0032_JPG_jpg.rf.b07eb9f24f0bd6cd03f835760d7a0d54,gradcam,0.07612758874893188,0.5795876979827881,explanations\yolov8n\incremental_round_4\gradcam\DSC_0032_JPG_jpg.rf.b07eb9f24f0bd6cd03f835760d7a0d54_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0032_JPG_jpg.rf.b07eb9f24f0bd6cd03f835760d7a0d54,lrp,0.5069834589958191,0.718785285949707,explanations\yolov8n\incremental_round_4\lrp\DSC_0032_JPG_jpg.rf.b07eb9f24f0bd6cd03f835760d7a0d54_lrp.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_0032_JPG_jpg.rf.b07eb9f24f0bd6cd03f835760d7a0d54,shap,0.28852829337120056,1.175821304321289,explanations\yolov8n\incremental_round_4\shap\DSC_0032_JPG_jpg.rf.b07eb9f24f0bd6cd03f835760d7a0d54_shap.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
4,DSC_00381_JPG_jpg.rf.09942160c612c8b95581aed57ee4a9cd,gradcam,0.2818300724029541,0.5706725120544434,explanations\yolov8n\incremental_round_4\gradcam\DSC_00381_JPG_jpg.rf.09942160c612c8b95581aed57ee4a9cd_gradcam.png,C:\Users\manig\Downloads\yolo-improvement-detection-moderation-paper\runs\yolov8n\incremental_round_4\weights\best.pt
