epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.641,1.5649,3.21692,1.8499,0.00334,0.26349,0.03381,0.01011,2.59481,4.17669,3.37897,0.000325926,0.000325926,0.0677333
2,42.2721,1.66204,2.35416,1.93784,0.2486,0.17842,0.13267,0.04652,2.09848,3.21425,2.77448,0.000599926,0.000599926,0.034674
3,49.7765,1.64849,2.17681,1.95108,0.3599,0.28923,0.27791,0.13677,1.91901,2.40034,2.23247,0.000813926,0.000813926,0.00155467
4,57.4087,1.59403,1.96302,1.81558,0.79186,0.22656,0.34062,0.18222,1.74996,3.03677,2.08813,0.00073,0.00073,0.00073
5,64.9611,1.56264,1.93112,1.83631,0.51725,0.43801,0.4269,0.23841,1.65156,2.3257,1.94746,0.00064,0.00064,0.00064
6,72.6074,1.51359,1.8136,1.80159,0.5379,0.45035,0.47213,0.27678,1.61293,1.92191,1.86677,0.00055,0.00055,0.00055
7,79.8315,1.3843,1.65806,1.66442,0.47886,0.53615,0.50255,0.29478,1.52875,1.73191,1.76809,0.00046,0.00046,0.00046
8,87.1466,1.35529,1.53103,1.62212,0.65322,0.5222,0.59396,0.3437,1.52176,1.58203,1.72541,0.00037,0.00037,0.00037
9,94.3169,1.24547,1.40322,1.56157,0.72358,0.52915,0.63434,0.38538,1.40906,1.48608,1.64013,0.00028,0.00028,0.00028
10,101.634,1.19285,1.29335,1.49281,0.67791,0.56139,0.63035,0.37625,1.40703,1.45471,1.61716,0.00019,0.00019,0.00019
