round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.6519683820876025,0.39123314594597003,0.6495095676065331,0.5925053506322726,0.6196993102778993,0.0,0.0,0.0,0.0
2,2631,1922,914,2915,890,486,914,0,0.822932874722337,0.5608128206981261,0.8690639185457049,0.726321402255957,0.7913069222060948,0.0,0.0,0.0,0.0
3,3040,409,505,742,313,296,505,0,0.8640255205555252,0.6196995303481758,0.8851739422925278,0.7731091414601818,0.8253549388202671,0.0,0.0,0.0,0.0
4,3196,156,349,432,273,160,349,0,0.8816227548622432,0.6368194993729566,0.912453240662266,0.789977304477055,0.8468097022551264,0.0,0.0,0.0,0.0
5,3271,75,274,266,185,136,274,0,0.8901870806022514,0.6473689254741385,0.9066412938047369,0.8074355151810348,0.8541675335783676,0.0,0.0,0.0,0.0
