round,training_set_size,verified_samples_added,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,1417,0,0,0.8358227227819632,0.5605429781598797,0.8272922027102093,0.7540218034380008,0.7889595061226343,0.0,0.0,0.0,0.0
2,2882,2882,0,0.9001079629374451,0.6424420531615244,0.906302950919174,0.8198077698615406,0.8608882293204545,0.0,0.0,0.0,0.0
3,186,186,0,0.820307681759425,0.4876916206510066,0.8637443542665492,0.7297556061815482,0.7911167875478663,0.0,0.0,0.0,0.0
4,50,50,0,0.8187025579065026,0.48925819616005006,0.8553446454295408,0.7261482444648957,0.7854692444840117,0.0,0.0,0.0,0.0
