round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.7048668456995292,0.43756563558801653,0.6970383887610567,0.6423291182587174,0.6685663961515776,0.0,0.0,0.0,0.0
2,2642,1933,903,2615,576,629,903,0,0.8489074046177971,0.60351983850734,0.8849993085402386,0.7504968256508749,0.8122173545719374,0.0,0.0,0.0,0.0
3,3121,479,424,847,341,243,424,0,0.8789179778590748,0.6351702153091404,0.8649395606417081,0.8029039267767475,0.832768032375383,0.0,0.0,0.0,0.0
4,3230,109,315,285,176,184,315,0,0.9012853102327676,0.6497188231461695,0.8945919779019319,0.8294310826389164,0.8607801249694575,0.0,0.0,0.0,0.0
5,3307,77,238,199,120,150,238,0,0.9078142867735224,0.6688827642077612,0.9261852026733092,0.8217367251013009,0.8708402625865896,0.0,0.0,0.0,0.0
