round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.1700426497432808,0.10436394450533444,0.8098970921063091,0.13576642335766423,0.23254959017658186,0.0,0.0,0.0,0.0
2,1185,476,2360,762,283,2151,2360,0,0.22670029718648974,0.1413268501234327,0.3260916044209755,0.2294921208813698,0.26939397427256645,0.0,0.0,0.0,0.0
3,1381,196,2164,602,404,1776,2164,0,0.31732751071304993,0.19616788389385384,0.41206430258401483,0.3223565727539396,0.3617316467865948,0.0,0.0,0.0,0.0
4,1586,205,1959,673,458,1533,1959,0,0.3567075156430112,0.22804819273487142,0.5098053309986897,0.33471074256696465,0.40410674525759144,0.0,0.0,0.0,0.0
5,1725,139,1820,703,561,1339,1820,0,0.4156710321532195,0.2681319725980276,0.5522430102016275,0.3787161470768811,0.44930724068517036,0.0,0.0,0.0,0.0
