round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.7945940378441323,0.5143461857697611,0.8470885548914199,0.6949850489273888,0.7635353841854847,0.0,0.0,0.0,0.0
2,2850,2141,695,3132,867,352,695,0,0.8926485539014107,0.6418746291332258,0.9103202886483484,0.8113477393899545,0.8579892247371356,0.0,0.0,0.0,0.0
3,3194,344,351,596,240,222,351,0,0.910853226529547,0.6772592427263133,0.9247999486672562,0.8526328160515763,0.8872513213080653,0.0,0.0,0.0,0.0
4,3296,102,249,216,109,173,249,0,0.913267946703298,0.6703259030068659,0.930701370632619,0.8512719128414259,0.8892164022997894,0.0,0.0,0.0,0.0
5,3334,38,211,144,105,139,211,0,0.9229419878926406,0.6844445765668115,0.9377228442521941,0.8482142917969413,0.8907255492752184,0.0,0.0,0.0,0.0
