config,phase,round,training_set_size,verified_samples_added,training_time_seconds,validation_time_seconds,actual_stopped_epoch,best_epoch,mAP50,mAP50_95,precision,recall,f1_score,knife_mAP50,pistol_mAP50,knife_precision,pistol_precision,knife_recall,pistol_recall,knife_f1,pistol_f1
yolov8n_pretrained,round,2,2528,1819,547.25,9.84,10,,0.8117,0.5542,0.8206,0.7244,0.7695,0.8159,0.8075,0.8507,0.7905,0.7057,0.7431,0.7714,0.7661
yolov8n_pretrained,round,3,3073,545,691.03,9.64,10,,0.8624,0.6065,0.8837,0.7671,0.8213,0.8919,0.833,0.9203,0.8472,0.7824,0.7518,0.8457,0.7967
yolov8n_pretrained,round,4,3196,123,716.63,9.45,10,,0.8848,0.6352,0.904,0.8026,0.8503,0.9293,0.8403,0.8967,0.9113,0.8855,0.7197,0.8911,0.8042
yolov8n_pretrained,round,5,3255,59,727.51,9.6,10,,0.8919,0.647,0.9221,0.7998,0.8566,0.9424,0.8414,0.9473,0.8968,0.8551,0.7445,0.8989,0.8136
yolov8n_pretrained,final_test,,,,2897.59,6.31,,,0.8938,0.6394,0.9025,0.8194,0.8589,0.929,0.8585,0.9069,0.898,0.8647,0.774,0.8853,0.8314
yolov8n_pretrained_100ep,round,1,709,0,1929.6,8.2,100,,0.8013,0.5405,0.8723,0.712,0.784,0.8107,0.7918,0.8632,0.8814,0.7079,0.716,0.7779,0.7901
yolov8n_pretrained_100ep,round,2,2891,2182,2758.63,8.59,50,,0.8804,0.6177,0.8849,0.7957,0.838,0.9099,0.851,0.9101,0.8598,0.8279,0.7635,0.8671,0.8088
yolov8n_pretrained_100ep,round,3,3159,268,5925.49,7.46,100,,0.908,0.6741,0.9336,0.8369,0.8826,0.9372,0.8789,0.9404,0.9268,0.8785,0.7953,0.9084,0.856
yolov8n_pretrained_100ep,round,4,3274,115,937.82,7.26,15,,0.8892,0.6339,0.9164,0.8104,0.8601,0.911,0.8675,0.9285,0.9043,0.8193,0.8015,0.8705,0.8498
yolov8n_pretrained_100ep,round,5,3301,27,5862.19,7.9,95,,0.9188,0.6801,0.9336,0.855,0.8926,0.9411,0.8965,0.9437,0.9236,0.8808,0.8292,0.9112,0.8738
yolov8n_pretrained_100ep,final_test,,,,17413.73,4.01,,,0.9104,0.664,0.9374,0.8263,0.8784,0.943,0.8778,0.96,0.9148,0.8645,0.7882,0.9097,0.8468
yolov8n_pretrained_frozen_backbone,round,1,709,0,251.44,9.7,10,,0.7464,0.4523,0.732,0.6694,0.6993,0.7397,0.7531,0.722,0.742,0.6659,0.673,0.6928,0.7058
yolov8n_pretrained_frozen_backbone,round,2,2821,2112,741.8,9.52,10,,0.8508,0.5673,0.8486,0.7612,0.8025,0.8886,0.813,0.9,0.7972,0.7779,0.7445,0.8345,0.77
yolov8n_pretrained_frozen_backbone,round,3,3137,316,828.22,9.71,10,,0.8751,0.5937,0.8735,0.7956,0.8327,0.9202,0.83,0.8852,0.8618,0.8481,0.7431,0.8663,0.798
yolov8n_pretrained_frozen_backbone,round,4,3210,73,742.13,10.15,10,,0.8799,0.6101,0.8812,0.8098,0.844,0.9256,0.8342,0.9127,0.8497,0.8546,0.765,0.8827,0.8051
yolov8n_pretrained_frozen_backbone,round,5,3256,46,759.31,10.31,10,,0.884,0.6218,0.8926,0.8174,0.8534,0.9268,0.8411,0.9317,0.8536,0.8604,0.7745,0.8946,0.8121
