round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.1296755121124377,0.06609809548804159,0.24758325990094404,0.11576704545454546,0.1577650112317656,0.0,0.0,0.0,0.0
2,731,22,2814,31,9,2805,2814,0,0.2424852845150071,0.1345641308076871,0.41351338514454283,0.2567488262910798,0.31679863337099357,0.0,0.0,0.0,0.0
3,1204,473,2341,578,105,2240,2341,0,0.32548294178617726,0.18642603941214334,0.5110894580183076,0.30474001730082323,0.38181854171876395,0.0,0.0,0.0,0.0
4,1485,281,2060,424,137,1930,2060,0,0.4410674477459138,0.25704885538315786,0.6610637761292086,0.3777542146820316,0.48077647829609677,0.0,0.0,0.0,0.0
5,1888,403,1657,701,272,1439,1657,0,0.5065629226727619,0.3209861018854422,0.6885969949940289,0.4285855767957296,0.5283339495827023,0.0,0.0,0.0,0.0
