round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.6270527129633988,0.3607058839121048,0.6744901208443737,0.5412374650385429,0.6005610589714908,0.0,0.0,0.0,0.0
2,2416,1707,1129,2591,790,726,1129,0,0.7747308852907457,0.512052870018522,0.8113806411174104,0.6687103485913091,0.7331692917996107,0.0,0.0,0.0,0.0
3,2879,463,666,876,398,423,666,0,0.8213840651685049,0.560998044030896,0.8390858572142055,0.717768947404325,0.7737006312057053,0.0,0.0,0.0,0.0
4,3050,171,495,453,278,309,495,0,0.8511500320992171,0.5828087189578596,0.8611411997490224,0.7601098167019553,0.8074775255081834,0.0,0.0,0.0,0.0
5,3144,94,401,318,221,239,401,0,0.8524578644778326,0.5966029052100547,0.8559487308856384,0.7644861327103838,0.8076362089877329,0.0,0.0,0.0,0.0
