epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9538,1.06476,1.08891,1.55679,0.75447,0.59438,0.69568,0.42642,1.37766,1.43741,1.78657,0.000331361,0.000331361,0.0671953
2,113.973,1.08725,1.12251,1.56775,0.68919,0.62222,0.68366,0.42292,1.38543,1.40354,1.81534,0.000604872,0.000604872,0.0341354
3,169.667,1.08673,1.11189,1.56902,0.68986,0.59643,0.67557,0.40865,1.39646,1.44399,1.82133,0.000818383,0.000818383,0.00101562
4,225.495,1.0771,1.09466,1.56433,0.73623,0.60912,0.69008,0.4234,1.35557,1.39717,1.7745,0.00073,0.00073,0.00073
5,281.843,1.06405,1.05731,1.5467,0.77002,0.61274,0.70727,0.43468,1.3806,1.38342,1.80024,0.00064,0.00064,0.00064
6,338.638,1.04419,1.01988,1.52276,0.74087,0.62622,0.70642,0.44011,1.36167,1.35567,1.77643,0.00055,0.00055,0.00055
7,395.041,1.04086,1.02575,1.52886,0.74202,0.61161,0.70459,0.43944,1.33976,1.35149,1.7714,0.00046,0.00046,0.00046
8,451.017,1.02087,0.98708,1.49604,0.70018,0.66543,0.71852,0.45186,1.33088,1.32984,1.76483,0.00037,0.00037,0.00037
9,507.298,0.99626,0.97273,1.50221,0.75384,0.63808,0.72529,0.45894,1.33371,1.31887,1.7624,0.00028,0.00028,0.00028
10,563.442,0.982,0.94794,1.48465,0.75658,0.65285,0.73576,0.47107,1.30543,1.29515,1.74167,0.00019,0.00019,0.00019
