round,training_set_size,verified_samples_added,unlabeled_pool_size_at_round_start,total_detections,rejected_count,undetected_count,remaining_pool_size,unlabeled_pool_remaining,mAP50,mAP50-95,precision,recall,f1_score,fitness,inference_time_ms,round_training_time_seconds,cumulative_training_time_seconds
1,709,0,2836,,,,2836,0,0.6326793883762327,0.38505746848149797,0.7536951149487375,0.5692682399209466,0.6486267211326447,0.0,0.0,0.0,0.0
2,2362,1653,1183,2285,563,817,1183,0,0.7917174538774541,0.5458793398088757,0.8216256252892356,0.7191801376440461,0.7669971705745421,0.0,0.0,0.0,0.0
3,2871,509,674,905,371,419,674,0,0.8087423626010359,0.5522576882780246,0.8674499128432078,0.7293627141893435,0.7924356460411859,0.0,0.0,0.0,0.0
4,3009,138,536,438,293,324,536,0,0.8258886710411749,0.5693851368115317,0.8755831432796769,0.7243353238009473,0.7928101495814239,0.0,0.0,0.0,0.0
5,3089,80,456,354,272,265,456,0,0.8590010828776938,0.6127544751481397,0.9402212911618848,0.7678257042253521,0.8453234330948532,0.0,0.0,0.0,0.0
